PDB Name,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score,Volume score,Polarity score,Charge score,Proportion of polar atoms,Alpha sphere density,Cent. of mass - Alpha Sphere max dist,Flexibility,cryptic pocket flag
2bu2a,0.597,0.724,58,6.882,3.259,3.623,475.564,45.83,4.093,0.499,0.81,60.462,4.692,5,1,23.684,3.797,9.56,0.829,1
2q8ha,0.471,0.666,72,94.889,35.557,59.332,717.29,45.893,4.014,0.523,0.778,48.143,4.786,5,1,25.532,5.946,12.542,0.514,1
3ip0a,0.615,0.896,190,249.463,105.755,143.708,1417.156,48.649,3.938,0.475,0.584,26.316,4.132,18,1,36.634,8.947,22.988,0.563,1
3hzta,0.478,0.489,140,269.751,127.251,142.5,1563.356,37.778,4.077,0.499,0.45,19.931,3.828,15,-2,40.0,8.658,22.556,0.408,1
1s9da,0.509,0.026,97,139.817,81.851,57.966,575.912,17.857,3.668,0.399,0.289,29.577,4.385,16,0,42.857,5.812,12.298,0.0,1
1u1df,0.634,0.935,109,134.762,53.772,80.99,970.798,34.627,3.97,0.486,0.468,12.0,4.042,12,-2,44.828,6.609,17.285,0.284,1
2q8ha,0.309,0.058,39,21.329,3.214,18.114,263.847,28.0,3.989,0.481,0.744,61.308,5.308,6,3,25.0,3.069,6.884,0.333,1
3f82a,0.807,0.992,146,93.255,36.496,56.759,991.642,60.885,3.945,0.449,0.712,49.643,4.286,6,1,25.0,7.54,23.434,0.508,1
2brla,0.555,0.71,51,26.844,7.522,19.322,455.568,42.267,3.977,0.548,0.882,54.867,4.333,4,2,25.714,4.196,8.966,0.674,1
2girb,0.349,0.459,33,28.734,13.035,15.699,373.446,23.0,3.943,0.58,0.727,54.455,5.455,6,3,26.667,3.514,8.706,0.2,1
1imbb,0.286,0.451,63,144.218,66.851,77.367,554.637,20.818,3.963,0.495,0.349,22.375,3.875,8,3,45.0,5.396,12.848,0.616,1
2euma,0.189,0.002,26,40.653,24.953,15.699,239.632,10.0,3.822,0.608,0.423,-8.5,3.375,5,0,35.0,3.599,7.501,0.341,1
3gqza,0.529,0.885,127,219.206,106.738,112.468,1167.349,25.415,3.85,0.5,0.323,12.615,4.0,16,3,44.872,7.5,20.687,0.369,1
1q0bb,0.636,0.486,81,124.169,79.487,44.682,930.107,30.0,3.919,0.507,0.383,6.7,3.55,13,1,53.571,6.491,17.089,0.245,1
1fqca,0.261,0.521,116,208.477,103.413,105.064,949.256,45.815,4.102,0.544,0.466,23.87,5.217,16,-1,37.313,5.596,13.362,0.264,1
1za1d,0.37,0.254,21,22.353,5.446,16.907,301.529,19.0,3.794,0.488,0.952,55.556,4.556,3,1,26.316,3.076,6.525,0.751,1
1yv3a,0.292,0.017,55,72.49,41.092,31.398,552.107,17.5,3.866,0.416,0.364,16.143,4.143,7,2,47.059,4.752,12.35,0.183,1
2npqa,1.327,0.848,133,52.667,34.552,18.114,1112.652,25.5,3.946,0.518,0.331,17.618,4.0,15,2,44.444,8.922,20.766,0.41,1
1yv3a,0.477,0.005,50,4.422,3.214,1.208,349.576,2.0,3.83,0.456,0.06,3.6,2.933,10,0,66.667,4.169,10.924,0.0,1
3hl7a,0.626,0.926,111,113.257,31.139,82.119,726.216,61.825,3.838,0.449,0.721,28.762,4.048,10,-1,29.31,5.909,15.129,0.298,1
3fgob,0.299,0.038,45,113.188,43.146,70.042,321.356,9.647,3.614,0.372,0.378,19.941,3.882,10,-1,50.0,5.342,12.683,0.182,1
2ofpa,1.086,0.848,133,52.667,34.552,18.114,1129.634,25.5,3.946,0.518,0.331,17.618,4.0,15,2,44.444,8.922,20.766,0.41,1
3fgob,0.736,0.896,69,61.362,13.057,48.305,660.134,39.569,3.926,0.46,0.739,45.091,4.045,5,-1,29.787,5.722,11.704,0.766,1
1ha3b,0.333,0.431,67,151.464,66.851,84.613,666.001,20.818,3.966,0.509,0.328,22.375,3.875,8,3,42.857,5.45,12.848,0.284,1
3hl7a,0.77,0.899,88,26.322,11.83,14.492,550.816,54.303,3.933,0.492,0.75,53.364,4.045,5,0,30.612,5.216,14.044,0.202,1
3ixjc,0.134,0.008,28,23.815,12.946,10.869,150.9,11.0,3.814,0.454,0.429,16.091,3.273,6,0,42.105,2.07,6.53,0.349,1
3f82a,0.369,0.18,81,140.476,47.41,93.067,1084.742,26.293,4.142,0.556,0.506,46.16,4.52,9,3,27.119,6.756,17.019,0.519,1
3eksa,0.623,0.873,203,260.316,160.103,100.213,1424.305,30.431,3.889,0.453,0.251,6.694,3.694,19,1,46.535,8.456,19.525,0.325,1
1tr5a,0.397,0.929,77,119.366,40.87,78.496,729.729,34.227,4.016,0.445,0.571,35.0,5.0,14,0,34.783,5.212,13.914,0.548,1
2iegb,0.681,0.93,197,232.518,137.115,95.403,1120.823,21.106,3.815,0.414,0.239,16.283,4.174,30,3,48.0,9.778,23.689,0.331,1
2piqa,0.923,0.934,73,0.0,0.0,0.0,571.103,49.509,4.044,0.53,0.781,64.857,4.857,5,1,19.149,4.75,12.825,0.106,1
2iuzb,0.681,0.671,197,232.518,137.115,95.403,1131.099,21.106,3.815,0.414,0.239,16.283,4.174,30,3,48.0,9.778,23.689,0.68,1
1xvca,0.797,0.987,118,76.77,13.973,62.797,635.456,63.0,3.914,0.478,0.746,63.462,4.846,7,1,25.397,6.397,17.396,0.407,1
1d6yb,0.351,0.672,58,47.813,23.661,24.153,340.422,32.824,3.751,0.413,0.586,35.294,4.824,11,0,37.143,3.816,9.132,0.541,1
1j6za,0.41,0.815,67,17.614,5.379,12.235,451.953,50.357,3.806,0.538,0.836,81.0,5.556,3,0,17.5,3.803,9.674,0.296,1
1imbb,0.278,0.002,83,232.644,154.148,78.496,990.474,5.429,4.005,0.471,0.084,15.552,3.759,18,-2,54.717,6.62,14.662,0.207,1
