PDB Name,cryptic pocket flag True,cryptic pocket flag predict,pred proba 0,pred proba 1,f1 score
2AKAA,1,1,0.3748511716603877,0.6251488283396123,60.0
3MN9A,1,1,0.4823594290489628,0.5176405784016178,60.0
4AKEB,1,0,0.6136939985880727,0.3863060014119273,60.0
1HOOB,1,1,0.44981173861505097,0.5501882539343684,60.0
1ALVA,1,1,0.3901566822417226,0.609843325208858,60.0
1EXMA,1,0,0.5344764076360605,0.4655235923639395,60.0
3MN9A,1,0,0.5295809817234486,0.4704190033753902,60.0
1FA9A,1,1,0.36921454944828047,0.6307854356505583,60.0
2AX9A,1,1,0.43288143225780185,0.5671185677421982,60.0
2ZB1A,0,1,0.48965956468461136,0.5103404427659692,60.0
2YQCA,0,0,0.6095337026770687,0.3904662973229311,60.0
2BRKA,0,1,0.4745458176434753,0.525454174905944,60.0
1ADEA,0,1,0.47477770024736565,0.5252223072032149,60.0
3HQDA,0,0,0.5388715635115093,0.46112844393907126,60.0
1KS9A,0,0,0.5253533597005906,0.4746466402994094,60.0
3CJ0A,0,0,0.567163054494976,0.43283694550502405,60.0
1PZTA,0,1,0.44900471905345773,0.5509952883971229,60.0
1A8IA,0,1,0.4205804776958,0.5794195148536195,60.0
1NEPA,0,0,0.5650507827348163,0.434949209814603,60.0
1EXMA,0,0,0.6467398539430886,0.35326014605691136,60.0
