Pocket番号,Apo in paper,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score,Volume score,Polarity score,Charge score,Proportion of polar atoms,Alpha sphere density,Cent. of mass - Alpha Sphere max dist,Flexibility,cryptic pocket flag
2,1B6BA,0.33,0.007,44,134.651,71.854,62.797,408.141,9.467,3.891,0.483,0.341,48.625,4.312,5,0,39.394,4.441,9.769,0.373,1
8,1B6BA,0.146,0.024,36,134.182,47.233,86.949,339.835,12.857,3.908,0.439,0.389,51.909,4.545,4,0,34.615,3.513,7.855,0.45,1
9,1B6BA,0.095,0,15,67.559,22.877,44.682,204.764,2,3.939,0.555,0.2,25.333,4.25,6,3,47.059,2.716,5.968,0.744,1
1,1B6BA,0.394,0.007,39,107.975,45.178,62.797,432.256,9.167,3.903,0.611,0.308,-7.091,5,11,2,46.875,4.568,13.104,0.437,0
3,1B6BA,0.306,0.002,30,80.005,40.153,39.852,345.616,8,3.943,0.612,0.3,49.333,5.667,4,3,40.909,3.633,8.206,0.201,0
6,1B6BA,0.17,0.007,22,93.413,35.447,57.966,374.948,10,4.048,0.62,0.5,32.667,3.667,3,-1,42.857,3.748,9.151,0.78,0
15,1BNCB,0.017,0.011,16,102.02,24.732,77.288,350.377,6,4.178,0.547,0.438,30.875,4.625,5,2,35.294,3.461,8.096,0.589,1
1,1BNCB,0.324,0.608,50,136.336,73.302,63.034,498.356,16,3.866,0.45,0.36,26.067,4.6,9,0,41.176,4.265,9.916,0.463,0
2,1BSQA,0.333,0.004,19,18.663,6.429,12.235,111.942,11,3.589,0.394,0.632,63.9,4.1,1,0,31.25,2.077,4.462,0.079,1
10,1BSQA,0.142,0.001,18,80.917,31.404,49.513,255.841,9,3.909,0.506,0.556,11.2,3.8,6,-2,38.889,2.876,6.995,0.8,0
1,1E2XA,0.492,0.449,46,45.78,10.759,35.021,175.591,28,3.703,0.457,0.63,46.182,5.273,7,0,33.333,2.49,5.103,0.294,1
8,1E2XA,0.061,0.203,24,119.419,1.071,118.348,319.212,18.7,3.919,0.586,0.833,78.667,4.667,1,0,14.286,3.643,8.678,0.247,0
2,1JBUH,0.132,0.001,31,81.473,34.375,47.098,354.539,8,4.088,0.633,0.29,6.9,3.8,9,-1,44.828,3.823,7.729,0.568,1
1,1JBUH,0.171,0.027,17,73.185,18.525,54.66,326.618,11.857,3.977,0.769,0.824,71,5.4,2,1,19.048,4.698,10.967,0.436,0
