Family,PDBid,Type,In_CryptoSite,Resolution
1,4lzt,0,0,0.95
2,3d92,0,0,1.1
3,1hcl,0,0,1.8
4,1s0q,0,0,1.02
6,3fb0,0,0,1.6
7,1mso,0,0,1.0
9,3ry1,0,0,1.03
10,4lyi,0,0,1.3
12,1ird,0,0,1.25
13,1gvk,0,0,0.94
14,2pyc,0,0,1.5
15,3lzy,0,0,1.8
16,3dmv,0,0,1.65
17,4pun,0,0,1.25
18,2v1i,0,0,1.2
19,4kmk,0,0,1.65
20,4e5b,0,0,2.0
21,1ea5,0,0,1.8
23,1nls,0,0,0.94
26,2oxu,0,0,1.24
27,4nvf,0,0,1.49
29,3djh,0,0,1.25
30,3i2y,0,0,1.0
31,4a8i,0,0,0.95
32,4k3s,0,0,1.75
33,2oot,0,0,1.64
34,3tf3,0,0,1.64
35,1x8q,0,0,0.85
36,2y2v,0,0,2.45
37,1tws,0,0,2.0
38,1ic6,0,0,0.98
39,2h7q,0,0,1.5
40,16gs,0,0,1.9
41,1z5r,0,0,1.4
42,2zk0,0,0,2.36
43,1o7m,0,0,1.75
44,3o5q,0,0,0.96
45,3l61,0,0,1.5
46,2w0o,0,0,1.5
47,4e34,0,0,1.39
49,1mop,0,0,1.6
50,4iez,0,0,1.39
51,2ppn,0,0,0.92
52,1aa4,0,0,2.1
53,1aee,0,0,2.1
54,1tgn,0,0,1.65
55,3fvj,0,0,2.3
56,3dr9,0,0,1.26
57,9rnt,0,0,1.5
58,4qut,0,0,1.7
59,2vw2,0,0,1.7
60,1w6g,0,0,1.55
61,7a3h,0,0,0.95
62,3c2x,0,0,1.83
63,4g03,0,0,2.22
64,1ppb,0,0,1.92
65,3qas,0,0,1.7
66,3p1e,0,0,1.8
67,2e39,0,0,1.3
68,1xvo,0,0,0.84
69,3p1n,0,0,1.4
70,1rtq,0,0,0.95
71,4br9,0,0,1.4
73,1xla,0,0,2.3
75,1xeo,0,0,1.3
76,1q9k,0,0,1.96
77,2ah1,0,0,1.2
80,3c6x,0,0,1.05
81,4bnw,0,0,1.6
82,3ddo,0,0,1.5
83,1h05,0,0,1.5
84,2whe,0,0,1.55
85,1bjz,0,0,2.2
86,1td1,0,0,1.9
87,1tk3,0,0,2.0
88,2e3s,0,0,1.94
89,1fxp,0,0,1.8
90,2zpb,0,0,1.3
93,3bui,0,0,1.25
94,1ye3,0,0,1.59
95,4clf,0,0,1.7
96,1hcb,0,0,1.6
97,1ous,0,0,1.2
99,3iqo,0,0,1.5
100,3at2,0,0,1.6
103,1wl6,0,0,2.0
104,1sml,0,0,1.7
106,2vb9,0,0,1.5
107,3vaj,0,0,1.9
108,3cab,0,0,1.95
109,2b3h,0,0,1.1
110,1pod,0,0,2.1
112,2y1e,0,0,1.65
113,1znk,0,0,1.6
114,3qcd,0,0,1.8
115,1bhs,0,0,2.2
116,4ew1,0,0,1.52
118,3f0d,0,0,1.2
119,3ojn,0,0,1.65
120,3k0m,0,0,1.25
121,1ivg,0,0,1.9
122,1gqv,0,0,0.98
123,4i2a,0,0,1.9
124,3g46,0,0,0.91
125,1tpf,0,0,1.8
126,2bnm,0,0,1.7
127,2cxn,0,0,1.4
128,1je0,0,0,1.6
129,1n40,0,0,1.06
