PDB Name,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score,Volume score,Polarity score,Charge score,Proportion of polar atoms,Alpha sphere density,Cent. of mass - Alpha Sphere max dist,Flexibility,cryptic pocket flag
1A8IA,0.885,0.091,133,88.452,67.922,20.53,749.91,5.667,3.84,0.43,0.09,13.387,3.935,20,-1,56.061,7.416,16.983,0.111,1
1ADEA,0.208,0.003,36,80.784,31.271,49.513,284.784,4.333,3.869,0.454,0.167,-3.143,2.5,7,0,56,3.288,8.855,0.651,1
1ADEA,0.097,0.004,35,102.403,22.7,79.703,323.341,6,3.875,0.522,0.2,-14.273,3,7,0,44.444,3.097,8.869,0.566,1
1ALBA,0.158,0.002,15,59.732,35.579,24.153,198.032,6,3.723,0.492,0.467,10.286,3.857,4,0,53.333,2.8,6.617,0.327,1
1ALVA,0.23,0.205,16,51.995,10.936,41.059,231.446,14.875,3.698,0.351,1,68,5.333,3,1,14.286,3.139,8.148,0.565,1
1CLLA,0.484,0.607,46,69.156,10.715,58.441,405.797,43.156,3.977,0.528,0.978,78.273,5,1,-1,6.667,3.244,7.928,0.42,1
1DUBD,-0.29,-0.29,50,219.503,65.58,153.923,582.08,23.931,3.911,0.449,0.58,41.5,3.667,4,-2,36.111,4.983,16.872,0.554,1
1ECJD,0.069,0,16,73.314,32.254,41.059,249.187,3,3.852,0.563,0.25,-6.429,3.429,6,-1,52.941,3.182,7.116,0.376,1
1EX6A,0.291,0.019,46,173.18,106.76,66.42,499.34,7,3.983,0.612,0.174,-5.846,3.538,8,0,54.054,5.588,13.542,0.504,1
1EXMA,0.184,0.329,44,103.594,43.212,60.381,310.094,18,3.739,0.402,0.432,7.154,4.231,8,-1,37.931,4.041,8.145,0.404,1
1FA9A,0.285,0.022,33,50.494,23.926,26.568,405.752,6,3.837,0.48,0.242,14.286,5.571,13,4,48.276,4.665,10.54,0.273,1
1FA9A,0.265,0.791,201,381.159,218.129,163.03,1802.68,20.982,3.973,0.471,0.274,13.958,4.104,30,5,46.087,9.46,23.354,0.491,1
1FXXA,0.267,0.013,97,254.119,112.273,141.847,850.759,22,3.796,0.405,0.423,32.591,4.818,13,2,39.344,7.304,17.486,0.463,1
1FXXA,0.033,0.003,30,112.643,36.562,76.081,408.978,7,4.105,0.654,0.267,12.6,3.8,11,-3,51.852,3.982,8.144,0.301,1
1G24D,0.21,0.006,70,191.76,118.095,73.665,660.242,11,3.877,0.489,0.171,22.353,4.765,13,1,52.174,5.195,12.054,0.339,1
1G24D,0.13,0.001,49,142.43,104.994,37.436,417.979,6.75,3.865,0.476,0.163,17.625,3.812,10,1,53.125,4.063,8.559,0.327,1
1G4EB,0.08,0.019,15,52.202,19.596,32.606,128.095,12,3.589,0.333,0.867,33.182,4.091,6,3,33.333,2.47,6.378,0.305,1
1G4EB,-0.07,0.001,28,133.697,53.993,79.703,473.834,5.714,3.953,0.463,0.25,33.545,3.091,3,0,47.619,3.257,9.182,0.301,1
1HAGE,0.393,0.417,49,110.36,55.937,54.422,401.077,22,3.918,0.455,0.469,40.154,4.077,7,0,40.625,4.077,9.804,0.579,1
1HKAA,0.325,0.054,28,100.402,40.02,60.381,321.496,15,3.812,0.569,0.571,40,6,5,1,29.63,3.203,6.599,0.35,1
1HKAA,0.284,0.005,22,66.231,40.87,25.36,208.858,6,3.759,0.412,0.318,24.182,4,5,-1,47.368,2.417,6.933,0.496,1
1HOOB,0.46,0.022,74,205.937,122.611,83.326,872.736,11.571,4.028,0.569,0.189,11.25,3.708,12,1,58.491,8.061,19.798,0.475,1
1HOOB,0.234,0.745,65,160.614,59.174,101.441,646.575,17.6,4.098,0.513,0.308,-3.733,3.133,8,0,43.902,5.114,16.954,0.547,1
